num diffs,metric,mutation rate,coverage,k-length,score
1465,BC,1e-06,30,20,0.09327147225038412
619,BC,1e-06,30,30,0.09476761296858827
248,BC,1e-06,30,40,0.0941320627602108
384,BC,1e-06,40,10,0.03604631754753951
773,BC,1e-06,40,20,0.07547930826867444
1159,BC,1e-06,40,30,0.08509621852893767
1362,BC,1e-06,40,40,0.10250174160969683
4261,BC,1e-05,10,10,0.08936056674717863
5505,BC,1e-05,10,20,0.24076168443397927
8390,BC,1e-05,10,30,0.3618183261741975
20669,BC,1e-05,10,40,0.33912640760759116
12304,BC,1e-05,20,10,0.06627302568719817
11928,BC,1e-05,20,20,0.19782460645151534
8107,BC,1e-05,20,30,0.21841776817792025
28175,BC,1e-05,20,40,0.4467198628530775
7641,BC,1e-05,30,10,0.07291719691441712
5660,BC,1e-05,30,20,0.11594606693505127
8926,BC,1e-05,30,30,0.19412547965678306
10322,BC,1e-05,30,40,0.2523353820123676
6768,BC,1e-05,40,10,0.06112984838476643
4011,BC,1e-05,40,20,0.09234470002798545
13737,BC,1e-05,40,30,0.2400815532015953
3155,BC,1e-05,40,40,0.12390158799671336
486,BC,1e-06,10,10,0.08738535141142834
680,BC,1e-06,10,20,0.1812343569451369
855,BC,1e-06,10,30,0.22081991395467127
2292,BC,1e-06,10,40,0.28589378038966584
847,BC,1e-06,20,10,0.06254829669163064
298,BC,1e-06,20,20,0.10372911398043683
1085,BC,1e-06,20,30,0.11323925872202434
1089,BC,1e-06,20,40,0.1280152513545637
696,BC,1e-06,30,10,0.0487272791539336
244,BC,1e-06,30,20,0.08235121569190518
1140,BC,1e-06,30,30,0.08941346254194571
532,BC,1e-06,30,40,0.10072846217516385
1053,BC,1e-06,40,10,0.03758674300525422
800,BC,1e-06,40,20,0.07681290451348421
783,BC,1e-06,40,30,0.07993250799792073
289,BC,1e-06,40,40,0.08369935179182575
7776,BC,1e-05,10,10,0.09904201982959471
5335,BC,1e-05,10,20,0.24210835204213055
3755,BC,1e-05,10,30,0.2815101179013595
15006,BC,1e-05,10,40,0.3572436317189944
6901,BC,1e-05,20,10,0.07386246094561899
13109,BC,1e-05,20,20,0.13890915522882286
8103,BC,1e-05,20,30,0.18799985120058593
3579,BC,1e-05,20,40,0.14494070773256806
11247,BC,1e-05,30,10,0.07408161745471642
10475,BC,1e-05,30,20,0.13156277149056372
13183,BC,1e-05,30,30,0.19707299966304348
26709,BC,1e-05,30,40,0.28490421050617865
15383,BC,1e-05,40,10,0.06312009076851777
8344,BC,1e-05,40,20,0.15050605574228382
2169,BC,1e-05,40,30,0.0987203678850096
11312,BC,1e-05,40,40,0.2724012923817829
594,BC,1e-06,10,10,0.08880104474492656
1500,BC,1e-06,10,20,0.1778358551422209
650,BC,1e-06,10,30,0.21226658289312916
109,BC,1e-06,10,40,0.2561291545880541
1274,BC,1e-06,20,10,0.061317075515503805
237,BC,1e-06,20,20,0.10088104704872203
153,BC,1e-06,20,30,0.10608907934931644
1077,BC,1e-06,20,40,0.13333130309962826
543,BC,1e-06,30,10,0.050062568836630406
377,BC,1e-06,30,20,0.0869040954101814
925,BC,1e-06,30,30,0.09635374539146024
853,BC,1e-06,30,40,0.10334409723946347
981,BC,1e-06,40,10,0.038306207985986496
425,BC,1e-06,40,20,0.07610202355788753
1140,BC,1e-06,40,30,0.08889145938366594
60,BC,1e-06,40,40,0.08052320984026506
3258,BC,1e-05,10,10,0.09158372375135437
5021,BC,1e-05,10,20,0.1803704549820896
16624,BC,1e-05,10,30,0.33879724817712376
8285,BC,1e-05,10,40,0.40784698562043076
4549,BC,1e-05,20,10,0.0704981607324714
14651,BC,1e-05,20,20,0.22085042944017008
8260,BC,1e-05,20,30,0.20811441898499183
6592,BC,1e-05,20,40,0.25372457048033215
17009,BC,1e-05,30,10,0.05460486186909541
4801,BC,1e-05,30,20,0.11985584639435798
8000,BC,1e-05,30,30,0.1750488817960243
5152,BC,1e-05,30,40,0.13449565022643284
11075,BC,1e-05,40,10,0.0690058636722195
15823,BC,1e-05,40,20,0.17059501092345553
18556,BC,1e-05,40,30,0.29234746562886027
8362,BC,1e-05,40,40,0.1945535654641728
273,BC,1e-06,10,10,0.08804107980229336
567,BC,1e-06,10,20,0.1810995912331459
1067,BC,1e-06,10,30,0.21840956774799825
432,BC,1e-06,10,40,0.26298134722911437
984,BC,1e-06,20,10,0.062467795057274844
1601,BC,1e-06,20,20,0.10745247430025884
346,BC,1e-06,20,30,0.10590592354476724
258,BC,1e-06,20,40,0.11845975367464856
396,BC,1e-06,30,10,0.04713394768235979
800,BC,1e-06,30,20,0.08743796824011085
1180,BC,1e-06,30,30,0.09175292771886667
301,BC,1e-06,30,40,0.09406186448002951
425,BC,1e-06,40,10,0.03730520202761811
1466,BC,1e-06,40,20,0.08197998417477637
939,BC,1e-06,40,30,0.0835043084453988
1591,BC,1e-06,40,40,0.10580385644837143
9562,BC,1e-05,10,10,0.10364863366362409
1103,BC,1e-05,10,20,0.1909424459691874
12226,BC,1e-05,10,30,0.2463939041617963
183,BC,1e-05,10,40,0.3001802625973883
7186,BC,1e-05,20,10,0.07692404587684187
1581,BC,1e-05,20,20,0.1183916001745089
5053,BC,1e-05,20,30,0.14968859470048645
25075,BC,1e-05,20,40,0.4335922510000204
9144,BC,1e-05,30,10,0.07593277432672063
5993,BC,1e-05,30,20,0.1036357680572515
8308,BC,1e-05,30,30,0.18890865156220793
5522,BC,1e-05,30,40,0.14191594254389417
7004,BC,1e-05,40,10,0.05202552146945494
7699,BC,1e-05,40,20,0.15371534379923224
6781,BC,1e-05,40,30,0.14358808904982256
6428,BC,1e-05,40,40,0.21256867194745044
387,BC,1e-06,10,10,0.08698005163901423
320,BC,1e-06,10,20,0.17710686508270124
1034,BC,1e-06,10,30,0.21839736236320295
1424,BC,1e-06,10,40,0.2588220990890444
1253,BC,1e-06,20,10,0.06403276467810459
564,BC,1e-06,20,20,0.10574209827349901
683,BC,1e-06,20,30,0.11409039201722626
1482,BC,1e-06,20,40,0.1387730143520306
915,BC,1e-06,30,10,0.049026389127458714
1066,BC,1e-06,30,20,0.08529122395704303
1001,BC,1e-06,30,30,0.10330151088620321
618,BC,1e-06,30,40,0.10224424891420336
481,BC,1e-06,40,10,0.03937709807519374
955,BC,1e-06,40,20,0.0775071145683951
1331,BC,1e-06,40,30,0.0900967994690981
904,BC,1e-06,40,40,0.08576697029905911
4255,BC,1e-05,10,10,0.09555798337595167
8325,BC,1e-05,10,20,0.24617421715720245
5454,BC,1e-05,10,30,0.27179803428036886
3223,BC,1e-05,10,40,0.33627235322316207
11554,BC,1e-05,20,10,0.06863356765900253
15300,BC,1e-05,20,20,0.17768356575762123
11360,BC,1e-05,20,30,0.24471770734029308
11418,BC,1e-05,20,40,0.29273351423802363
20412,BC,1e-05,30,10,0.10491120505228357
3314,BC,1e-05,30,20,0.10837753069642941
15171,BC,1e-05,30,30,0.28154409412387915
11694,BC,1e-05,30,40,0.18190153445337043
8999,BC,1e-05,40,10,0.0474171867005766
8070,BC,1e-05,40,20,0.14712855205445163
6401,BC,1e-05,40,30,0.1482779974046743
12250,BC,1e-05,40,40,0.1996824944562221
463,BC,1e-06,10,10,0.08770118409856797
1789,BC,1e-06,10,20,0.18527479800393187
1464,BC,1e-06,10,30,0.22295572011295428
695,BC,1e-06,10,40,0.27458452964794167
1164,BC,1e-06,20,10,0.06355067221698352
1124,BC,1e-06,20,20,0.10462140253425245
868,BC,1e-06,20,30,0.12595760090674724
